date,day,day_of_the_week,month,month_text,quarter,semester,year
23/03/2005,23,Wednesday,3,March,1,1,2005
24/03/2005,24,Thursday,3,March,1,1,2005
25/03/2005,25,Friday,3,March,1,1,2005
26/03/2005,26,Saturday,3,March,1,1,2005
27/03/2005,27,Sunday,3,March,1,1,2005
28/03/2005,28,Monday,3,March,1,1,2005
29/03/2005,29,Tuesday,3,March,1,1,2005
30/03/2005,30,Wednesday,3,March,1,1,2005
31/03/2005,31,Thursday,3,March,1,1,2005
01/04/2005,1,Friday,4,April,2,1,2005
02/04/2005,2,Saturday,4,April,2,1,2005
03/04/2005,3,Sunday,4,April,2,1,2005
04/04/2005,4,Monday,4,April,2,1,2005
05/04/2005,5,Tuesday,4,April,2,1,2005
06/04/2005,6,Wednesday,4,April,2,1,2005
07/04/2005,7,Thursday,4,April,2,1,2005
08/04/2005,8,Friday,4,April,2,1,2005
09/04/2005,9,Saturday,4,April,2,1,2005
10/04/2005,10,Sunday,4,April,2,1,2005
11/04/2005,11,Monday,4,April,2,1,2005
12/04/2005,12,Tuesday,4,April,2,1,2005
13/04/2005,13,Wednesday,4,April,2,1,2005
14/04/2005,14,Thursday,4,April,2,1,2005
15/04/2005,15,Friday,4,April,2,1,2005
16/04/2005,16,Saturday,4,April,2,1,2005
17/04/2005,17,Sunday,4,April,2,1,2005
18/04/2005,18,Monday,4,April,2,1,2005
19/04/2005,19,Tuesday,4,April,2,1,2005
20/04/2005,20,Wednesday,4,April,2,1,2005
21/04/2005,21,Thursday,4,April,2,1,2005
22/04/2005,22,Friday,4,April,2,1,2005
23/04/2005,23,Saturday,4,April,2,1,2005
24/04/2005,24,Sunday,4,April,2,1,2005
25/04/2005,25,Monday,4,April,2,1,2005
26/04/2005,26,Tuesday,4,April,2,1,2005
27/04/2005,27,Wednesday,4,April,2,1,2005
28/04/2005,28,Thursday,4,April,2,1,2005
29/04/2005,29,Friday,4,April,2,1,2005
30/04/2005,30,Saturday,4,April,2,1,2005
01/05/2005,1,Sunday,5,May,2,1,2005
02/05/2005,2,Monday,5,May,2,1,2005
03/05/2005,3,Tuesday,5,May,2,1,2005
04/05/2005,4,Wednesday,5,May,2,1,2005
05/05/2005,5,Thursday,5,May,2,1,2005
06/05/2005,6,Friday,5,May,2,1,2005
07/05/2005,7,Saturday,5,May,2,1,2005
08/05/2005,8,Sunday,5,May,2,1,2005
09/05/2005,9,Monday,5,May,2,1,2005
10/05/2005,10,Tuesday,5,May,2,1,2005
11/05/2005,11,Wednesday,5,May,2,1,2005
12/05/2005,12,Thursday,5,May,2,1,2005
13/05/2005,13,Friday,5,May,2,1,2005
14/05/2005,14,Saturday,5,May,2,1,2005
15/05/2005,15,Sunday,5,May,2,1,2005
16/05/2005,16,Monday,5,May,2,1,2005
17/05/2005,17,Tuesday,5,May,2,1,2005
18/05/2005,18,Wednesday,5,May,2,1,2005
19/05/2005,19,Thursday,5,May,2,1,2005
20/05/2005,20,Friday,5,May,2,1,2005
21/05/2005,21,Saturday,5,May,2,1,2005
22/05/2005,22,Sunday,5,May,2,1,2005
23/05/2005,23,Monday,5,May,2,1,2005
24/05/2005,24,Tuesday,5,May,2,1,2005
25/05/2005,25,Wednesday,5,May,2,1,2005
26/05/2005,26,Thursday,5,May,2,1,2005
27/05/2005,27,Friday,5,May,2,1,2005
28/05/2005,28,Saturday,5,May,2,1,2005
29/05/2005,29,Sunday,5,May,2,1,2005
30/05/2005,30,Monday,5,May,2,1,2005
31/05/2005,31,Tuesday,5,May,2,1,2005
01/06/2005,1,Wednesday,6,June,2,1,2005
02/06/2005,2,Thursday,6,June,2,1,2005
03/06/2005,3,Friday,6,June,2,1,2005
04/06/2005,4,Saturday,6,June,2,1,2005
05/06/2005,5,Sunday,6,June,2,1,2005
06/06/2005,6,Monday,6,June,2,1,2005
07/06/2005,7,Tuesday,6,June,2,1,2005
08/06/2005,8,Wednesday,6,June,2,1,2005
09/06/2005,9,Thursday,6,June,2,1,2005
10/06/2005,10,Friday,6,June,2,1,2005
11/06/2005,11,Saturday,6,June,2,1,2005
12/06/2005,12,Sunday,6,June,2,1,2005
13/06/2005,13,Monday,6,June,2,1,2005
14/06/2005,14,Tuesday,6,June,2,1,2005
15/06/2005,15,Wednesday,6,June,2,1,2005
16/06/2005,16,Thursday,6,June,2,1,2005
17/06/2005,17,Friday,6,June,2,1,2005
18/06/2005,18,Saturday,6,June,2,1,2005
19/06/2005,19,Sunday,6,June,2,1,2005
20/06/2005,20,Monday,6,June,2,1,2005
21/06/2005,21,Tuesday,6,June,2,1,2005
22/06/2005,22,Wednesday,6,June,2,1,2005
23/06/2005,23,Thursday,6,June,2,1,2005
24/06/2005,24,Friday,6,June,2,1,2005
25/06/2005,25,Saturday,6,June,2,1,2005
26/06/2005,26,Sunday,6,June,2,1,2005
27/06/2005,27,Monday,6,June,2,1,2005
28/06/2005,28,Tuesday,6,June,2,1,2005
29/06/2005,29,Wednesday,6,June,2,1,2005
30/06/2005,30,Thursday,6,June,2,1,2005
01/07/2005,1,Friday,7,July,3,2,2005
02/07/2005,2,Saturday,7,July,3,2,2005
03/07/2005,3,Sunday,7,July,3,2,2005
04/07/2005,4,Monday,7,July,3,2,2005
05/07/2005,5,Tuesday,7,July,3,2,2005
06/07/2005,6,Wednesday,7,July,3,2,2005
07/07/2005,7,Thursday,7,July,3,2,2005
08/07/2005,8,Friday,7,July,3,2,2005
09/07/2005,9,Saturday,7,July,3,2,2005
10/07/2005,10,Sunday,7,July,3,2,2005
11/07/2005,11,Monday,7,July,3,2,2005
12/07/2005,12,Tuesday,7,July,3,2,2005
13/07/2005,13,Wednesday,7,July,3,2,2005
14/07/2005,14,Thursday,7,July,3,2,2005
15/07/2005,15,Friday,7,July,3,2,2005
16/07/2005,16,Saturday,7,July,3,2,2005
17/07/2005,17,Sunday,7,July,3,2,2005
18/07/2005,18,Monday,7,July,3,2,2005
19/07/2005,19,Tuesday,7,July,3,2,2005
20/07/2005,20,Wednesday,7,July,3,2,2005
21/07/2005,21,Thursday,7,July,3,2,2005
22/07/2005,22,Friday,7,July,3,2,2005
23/07/2005,23,Saturday,7,July,3,2,2005
24/07/2005,24,Sunday,7,July,3,2,2005
25/07/2005,25,Monday,7,July,3,2,2005
26/07/2005,26,Tuesday,7,July,3,2,2005
27/07/2005,27,Wednesday,7,July,3,2,2005
28/07/2005,28,Thursday,7,July,3,2,2005
29/07/2005,29,Friday,7,July,3,2,2005
30/07/2005,30,Saturday,7,July,3,2,2005
31/07/2005,31,Sunday,7,July,3,2,2005
01/08/2005,1,Monday,8,August,3,2,2005
02/08/2005,2,Tuesday,8,August,3,2,2005
03/08/2005,3,Wednesday,8,August,3,2,2005
04/08/2005,4,Thursday,8,August,3,2,2005
05/08/2005,5,Friday,8,August,3,2,2005
06/08/2005,6,Saturday,8,August,3,2,2005
07/08/2005,7,Sunday,8,August,3,2,2005
08/08/2005,8,Monday,8,August,3,2,2005
09/08/2005,9,Tuesday,8,August,3,2,2005
10/08/2005,10,Wednesday,8,August,3,2,2005
11/08/2005,11,Thursday,8,August,3,2,2005
12/08/2005,12,Friday,8,August,3,2,2005
13/08/2005,13,Saturday,8,August,3,2,2005
14/08/2005,14,Sunday,8,August,3,2,2005
15/08/2005,15,Monday,8,August,3,2,2005
16/08/2005,16,Tuesday,8,August,3,2,2005
17/08/2005,17,Wednesday,8,August,3,2,2005
18/08/2005,18,Thursday,8,August,3,2,2005
19/08/2005,19,Friday,8,August,3,2,2005
20/08/2005,20,Saturday,8,August,3,2,2005
21/08/2005,21,Sunday,8,August,3,2,2005
22/08/2005,22,Monday,8,August,3,2,2005
23/08/2005,23,Tuesday,8,August,3,2,2005
24/08/2005,24,Wednesday,8,August,3,2,2005
25/08/2005,25,Thursday,8,August,3,2,2005
26/08/2005,26,Friday,8,August,3,2,2005
27/08/2005,27,Saturday,8,August,3,2,2005
28/08/2005,28,Sunday,8,August,3,2,2005
29/08/2005,29,Monday,8,August,3,2,2005
30/08/2005,30,Tuesday,8,August,3,2,2005
31/08/2005,31,Wednesday,8,August,3,2,2005
01/09/2005,1,Thursday,9,September,3,2,2005
02/09/2005,2,Friday,9,September,3,2,2005
03/09/2005,3,Saturday,9,September,3,2,2005
04/09/2005,4,Sunday,9,September,3,2,2005
05/09/2005,5,Monday,9,September,3,2,2005
06/09/2005,6,Tuesday,9,September,3,2,2005
07/09/2005,7,Wednesday,9,September,3,2,2005
08/09/2005,8,Thursday,9,September,3,2,2005
09/09/2005,9,Friday,9,September,3,2,2005
10/09/2005,10,Saturday,9,September,3,2,2005
11/09/2005,11,Sunday,9,September,3,2,2005
12/09/2005,12,Monday,9,September,3,2,2005
13/09/2005,13,Tuesday,9,September,3,2,2005
14/09/2005,14,Wednesday,9,September,3,2,2005
15/09/2005,15,Thursday,9,September,3,2,2005
16/09/2005,16,Friday,9,September,3,2,2005
17/09/2005,17,Saturday,9,September,3,2,2005
18/09/2005,18,Sunday,9,September,3,2,2005
19/09/2005,19,Monday,9,September,3,2,2005
20/09/2005,20,Tuesday,9,September,3,2,2005
21/09/2005,21,Wednesday,9,September,3,2,2005
22/09/2005,22,Thursday,9,September,3,2,2005
23/09/2005,23,Friday,9,September,3,2,2005
24/09/2005,24,Saturday,9,September,3,2,2005
25/09/2005,25,Sunday,9,September,3,2,2005
26/09/2005,26,Monday,9,September,3,2,2005
27/09/2005,27,Tuesday,9,September,3,2,2005
28/09/2005,28,Wednesday,9,September,3,2,2005
29/09/2005,29,Thursday,9,September,3,2,2005
30/09/2005,30,Friday,9,September,3,2,2005
01/10/2005,1,Saturday,10,October,4,2,2005
02/10/2005,2,Sunday,10,October,4,2,2005
03/10/2005,3,Monday,10,October,4,2,2005
04/10/2005,4,Tuesday,10,October,4,2,2005
05/10/2005,5,Wednesday,10,October,4,2,2005
06/10/2005,6,Thursday,10,October,4,2,2005
07/10/2005,7,Friday,10,October,4,2,2005
08/10/2005,8,Saturday,10,October,4,2,2005
09/10/2005,9,Sunday,10,October,4,2,2005
10/10/2005,10,Monday,10,October,4,2,2005
11/10/2005,11,Tuesday,10,October,4,2,2005
12/10/2005,12,Wednesday,10,October,4,2,2005
13/10/2005,13,Thursday,10,October,4,2,2005
14/10/2005,14,Friday,10,October,4,2,2005
15/10/2005,15,Saturday,10,October,4,2,2005
16/10/2005,16,Sunday,10,October,4,2,2005
17/10/2005,17,Monday,10,October,4,2,2005
18/10/2005,18,Tuesday,10,October,4,2,2005
19/10/2005,19,Wednesday,10,October,4,2,2005
20/10/2005,20,Thursday,10,October,4,2,2005
21/10/2005,21,Friday,10,October,4,2,2005
22/10/2005,22,Saturday,10,October,4,2,2005
23/10/2005,23,Sunday,10,October,4,2,2005
24/10/2005,24,Monday,10,October,4,2,2005
25/10/2005,25,Tuesday,10,October,4,2,2005
26/10/2005,26,Wednesday,10,October,4,2,2005
27/10/2005,27,Thursday,10,October,4,2,2005
28/10/2005,28,Friday,10,October,4,2,2005
29/10/2005,29,Saturday,10,October,4,2,2005
30/10/2005,30,Sunday,10,October,4,2,2005
31/10/2005,31,Monday,10,October,4,2,2005
01/11/2005,1,Tuesday,11,November,4,2,2005
02/11/2005,2,Wednesday,11,November,4,2,2005
03/11/2005,3,Thursday,11,November,4,2,2005
04/11/2005,4,Friday,11,November,4,2,2005
05/11/2005,5,Saturday,11,November,4,2,2005
06/11/2005,6,Sunday,11,November,4,2,2005
07/11/2005,7,Monday,11,November,4,2,2005
08/11/2005,8,Tuesday,11,November,4,2,2005
09/11/2005,9,Wednesday,11,November,4,2,2005
10/11/2005,10,Thursday,11,November,4,2,2005
11/11/2005,11,Friday,11,November,4,2,2005
12/11/2005,12,Saturday,11,November,4,2,2005
13/11/2005,13,Sunday,11,November,4,2,2005
14/11/2005,14,Monday,11,November,4,2,2005
15/11/2005,15,Tuesday,11,November,4,2,2005
16/11/2005,16,Wednesday,11,November,4,2,2005
17/11/2005,17,Thursday,11,November,4,2,2005
18/11/2005,18,Friday,11,November,4,2,2005
19/11/2005,19,Saturday,11,November,4,2,2005
20/11/2005,20,Sunday,11,November,4,2,2005
21/11/2005,21,Monday,11,November,4,2,2005
22/11/2005,22,Tuesday,11,November,4,2,2005
23/11/2005,23,Wednesday,11,November,4,2,2005
24/11/2005,24,Thursday,11,November,4,2,2005
25/11/2005,25,Friday,11,November,4,2,2005
26/11/2005,26,Saturday,11,November,4,2,2005
27/11/2005,27,Sunday,11,November,4,2,2005
28/11/2005,28,Monday,11,November,4,2,2005
29/11/2005,29,Tuesday,11,November,4,2,2005
30/11/2005,30,Wednesday,11,November,4,2,2005
01/12/2005,1,Thursday,12,December,4,2,2005
02/12/2005,2,Friday,12,December,4,2,2005
03/12/2005,3,Saturday,12,December,4,2,2005
04/12/2005,4,Sunday,12,December,4,2,2005
05/12/2005,5,Monday,12,December,4,2,2005
06/12/2005,6,Tuesday,12,December,4,2,2005
07/12/2005,7,Wednesday,12,December,4,2,2005
08/12/2005,8,Thursday,12,December,4,2,2005
09/12/2005,9,Friday,12,December,4,2,2005
10/12/2005,10,Saturday,12,December,4,2,2005
11/12/2005,11,Sunday,12,December,4,2,2005
12/12/2005,12,Monday,12,December,4,2,2005
13/12/2005,13,Tuesday,12,December,4,2,2005
14/12/2005,14,Wednesday,12,December,4,2,2005
15/12/2005,15,Thursday,12,December,4,2,2005
16/12/2005,16,Friday,12,December,4,2,2005
17/12/2005,17,Saturday,12,December,4,2,2005
18/12/2005,18,Sunday,12,December,4,2,2005
19/12/2005,19,Monday,12,December,4,2,2005
20/12/2005,20,Tuesday,12,December,4,2,2005
21/12/2005,21,Wednesday,12,December,4,2,2005
22/12/2005,22,Thursday,12,December,4,2,2005
23/12/2005,23,Friday,12,December,4,2,2005
24/12/2005,24,Saturday,12,December,4,2,2005
25/12/2005,25,Sunday,12,December,4,2,2005
26/12/2005,26,Monday,12,December,4,2,2005
27/12/2005,27,Tuesday,12,December,4,2,2005
28/12/2005,28,Wednesday,12,December,4,2,2005
29/12/2005,29,Thursday,12,December,4,2,2005
30/12/2005,30,Friday,12,December,4,2,2005
31/12/2005,31,Saturday,12,December,4,2,2005
01/01/2006,1,Sunday,1,January,1,1,2006
02/01/2006,2,Monday,1,January,1,1,2006
03/01/2006,3,Tuesday,1,January,1,1,2006
04/01/2006,4,Wednesday,1,January,1,1,2006
05/01/2006,5,Thursday,1,January,1,1,2006
06/01/2006,6,Friday,1,January,1,1,2006
07/01/2006,7,Saturday,1,January,1,1,2006
08/01/2006,8,Sunday,1,January,1,1,2006
09/01/2006,9,Monday,1,January,1,1,2006
10/01/2006,10,Tuesday,1,January,1,1,2006
11/01/2006,11,Wednesday,1,January,1,1,2006
12/01/2006,12,Thursday,1,January,1,1,2006
13/01/2006,13,Friday,1,January,1,1,2006
14/01/2006,14,Saturday,1,January,1,1,2006
15/01/2006,15,Sunday,1,January,1,1,2006
16/01/2006,16,Monday,1,January,1,1,2006
17/01/2006,17,Tuesday,1,January,1,1,2006
18/01/2006,18,Wednesday,1,January,1,1,2006
19/01/2006,19,Thursday,1,January,1,1,2006
20/01/2006,20,Friday,1,January,1,1,2006
21/01/2006,21,Saturday,1,January,1,1,2006
22/01/2006,22,Sunday,1,January,1,1,2006
23/01/2006,23,Monday,1,January,1,1,2006
24/01/2006,24,Tuesday,1,January,1,1,2006
25/01/2006,25,Wednesday,1,January,1,1,2006
26/01/2006,26,Thursday,1,January,1,1,2006
27/01/2006,27,Friday,1,January,1,1,2006
28/01/2006,28,Saturday,1,January,1,1,2006
29/01/2006,29,Sunday,1,January,1,1,2006
30/01/2006,30,Monday,1,January,1,1,2006
31/01/2006,31,Tuesday,1,January,1,1,2006
01/02/2006,1,Wednesday,2,February,1,1,2006
02/02/2006,2,Thursday,2,February,1,1,2006
03/02/2006,3,Friday,2,February,1,1,2006
04/02/2006,4,Saturday,2,February,1,1,2006
05/02/2006,5,Sunday,2,February,1,1,2006
06/02/2006,6,Monday,2,February,1,1,2006
07/02/2006,7,Tuesday,2,February,1,1,2006
08/02/2006,8,Wednesday,2,February,1,1,2006
09/02/2006,9,Thursday,2,February,1,1,2006
10/02/2006,10,Friday,2,February,1,1,2006
11/02/2006,11,Saturday,2,February,1,1,2006
12/02/2006,12,Sunday,2,February,1,1,2006
13/02/2006,13,Monday,2,February,1,1,2006
14/02/2006,14,Tuesday,2,February,1,1,2006
15/02/2006,15,Wednesday,2,February,1,1,2006
16/02/2006,16,Thursday,2,February,1,1,2006
17/02/2006,17,Friday,2,February,1,1,2006
18/02/2006,18,Saturday,2,February,1,1,2006
19/02/2006,19,Sunday,2,February,1,1,2006
20/02/2006,20,Monday,2,February,1,1,2006
21/02/2006,21,Tuesday,2,February,1,1,2006
22/02/2006,22,Wednesday,2,February,1,1,2006
23/02/2006,23,Thursday,2,February,1,1,2006
24/02/2006,24,Friday,2,February,1,1,2006
25/02/2006,25,Saturday,2,February,1,1,2006
26/02/2006,26,Sunday,2,February,1,1,2006
27/02/2006,27,Monday,2,February,1,1,2006
28/02/2006,28,Tuesday,2,February,1,1,2006
01/03/2006,1,Wednesday,3,March,1,1,2006
02/03/2006,2,Thursday,3,March,1,1,2006
03/03/2006,3,Friday,3,March,1,1,2006
04/03/2006,4,Saturday,3,March,1,1,2006
05/03/2006,5,Sunday,3,March,1,1,2006
06/03/2006,6,Monday,3,March,1,1,2006
07/03/2006,7,Tuesday,3,March,1,1,2006
08/03/2006,8,Wednesday,3,March,1,1,2006
09/03/2006,9,Thursday,3,March,1,1,2006
10/03/2006,10,Friday,3,March,1,1,2006
11/03/2006,11,Saturday,3,March,1,1,2006
12/03/2006,12,Sunday,3,March,1,1,2006
13/03/2006,13,Monday,3,March,1,1,2006
14/03/2006,14,Tuesday,3,March,1,1,2006
15/03/2006,15,Wednesday,3,March,1,1,2006
16/03/2006,16,Thursday,3,March,1,1,2006
17/03/2006,17,Friday,3,March,1,1,2006
18/03/2006,18,Saturday,3,March,1,1,2006
19/03/2006,19,Sunday,3,March,1,1,2006
20/03/2006,20,Monday,3,March,1,1,2006
21/03/2006,21,Tuesday,3,March,1,1,2006
22/03/2006,22,Wednesday,3,March,1,1,2006
23/03/2006,23,Thursday,3,March,1,1,2006
24/03/2006,24,Friday,3,March,1,1,2006
25/03/2006,25,Saturday,3,March,1,1,2006
26/03/2006,26,Sunday,3,March,1,1,2006
27/03/2006,27,Monday,3,March,1,1,2006
28/03/2006,28,Tuesday,3,March,1,1,2006
29/03/2006,29,Wednesday,3,March,1,1,2006
30/03/2006,30,Thursday,3,March,1,1,2006
31/03/2006,31,Friday,3,March,1,1,2006
01/04/2006,1,Saturday,4,April,2,1,2006
02/04/2006,2,Sunday,4,April,2,1,2006
03/04/2006,3,Monday,4,April,2,1,2006
04/04/2006,4,Tuesday,4,April,2,1,2006
05/04/2006,5,Wednesday,4,April,2,1,2006
06/04/2006,6,Thursday,4,April,2,1,2006
07/04/2006,7,Friday,4,April,2,1,2006
08/04/2006,8,Saturday,4,April,2,1,2006
09/04/2006,9,Sunday,4,April,2,1,2006
10/04/2006,10,Monday,4,April,2,1,2006
11/04/2006,11,Tuesday,4,April,2,1,2006
12/04/2006,12,Wednesday,4,April,2,1,2006
13/04/2006,13,Thursday,4,April,2,1,2006
14/04/2006,14,Friday,4,April,2,1,2006
15/04/2006,15,Saturday,4,April,2,1,2006
16/04/2006,16,Sunday,4,April,2,1,2006
17/04/2006,17,Monday,4,April,2,1,2006
18/04/2006,18,Tuesday,4,April,2,1,2006
19/04/2006,19,Wednesday,4,April,2,1,2006
20/04/2006,20,Thursday,4,April,2,1,2006
21/04/2006,21,Friday,4,April,2,1,2006
22/04/2006,22,Saturday,4,April,2,1,2006
23/04/2006,23,Sunday,4,April,2,1,2006
24/04/2006,24,Monday,4,April,2,1,2006
25/04/2006,25,Tuesday,4,April,2,1,2006
26/04/2006,26,Wednesday,4,April,2,1,2006
27/04/2006,27,Thursday,4,April,2,1,2006
28/04/2006,28,Friday,4,April,2,1,2006
29/04/2006,29,Saturday,4,April,2,1,2006
30/04/2006,30,Sunday,4,April,2,1,2006
01/05/2006,1,Monday,5,May,2,1,2006
02/05/2006,2,Tuesday,5,May,2,1,2006
03/05/2006,3,Wednesday,5,May,2,1,2006
04/05/2006,4,Thursday,5,May,2,1,2006
05/05/2006,5,Friday,5,May,2,1,2006
06/05/2006,6,Saturday,5,May,2,1,2006
07/05/2006,7,Sunday,5,May,2,1,2006
08/05/2006,8,Monday,5,May,2,1,2006
09/05/2006,9,Tuesday,5,May,2,1,2006
10/05/2006,10,Wednesday,5,May,2,1,2006
11/05/2006,11,Thursday,5,May,2,1,2006
12/05/2006,12,Friday,5,May,2,1,2006
13/05/2006,13,Saturday,5,May,2,1,2006
14/05/2006,14,Sunday,5,May,2,1,2006
15/05/2006,15,Monday,5,May,2,1,2006
16/05/2006,16,Tuesday,5,May,2,1,2006
17/05/2006,17,Wednesday,5,May,2,1,2006
18/05/2006,18,Thursday,5,May,2,1,2006
19/05/2006,19,Friday,5,May,2,1,2006
20/05/2006,20,Saturday,5,May,2,1,2006
21/05/2006,21,Sunday,5,May,2,1,2006
22/05/2006,22,Monday,5,May,2,1,2006
23/05/2006,23,Tuesday,5,May,2,1,2006
24/05/2006,24,Wednesday,5,May,2,1,2006
25/05/2006,25,Thursday,5,May,2,1,2006
26/05/2006,26,Friday,5,May,2,1,2006
27/05/2006,27,Saturday,5,May,2,1,2006
28/05/2006,28,Sunday,5,May,2,1,2006
29/05/2006,29,Monday,5,May,2,1,2006
30/05/2006,30,Tuesday,5,May,2,1,2006
31/05/2006,31,Wednesday,5,May,2,1,2006
01/06/2006,1,Thursday,6,June,2,1,2006
02/06/2006,2,Friday,6,June,2,1,2006
03/06/2006,3,Saturday,6,June,2,1,2006
04/06/2006,4,Sunday,6,June,2,1,2006
05/06/2006,5,Monday,6,June,2,1,2006
06/06/2006,6,Tuesday,6,June,2,1,2006
07/06/2006,7,Wednesday,6,June,2,1,2006
08/06/2006,8,Thursday,6,June,2,1,2006
09/06/2006,9,Friday,6,June,2,1,2006
10/06/2006,10,Saturday,6,June,2,1,2006
11/06/2006,11,Sunday,6,June,2,1,2006
12/06/2006,12,Monday,6,June,2,1,2006
13/06/2006,13,Tuesday,6,June,2,1,2006
14/06/2006,14,Wednesday,6,June,2,1,2006
15/06/2006,15,Thursday,6,June,2,1,2006
16/06/2006,16,Friday,6,June,2,1,2006
17/06/2006,17,Saturday,6,June,2,1,2006
18/06/2006,18,Sunday,6,June,2,1,2006
19/06/2006,19,Monday,6,June,2,1,2006
20/06/2006,20,Tuesday,6,June,2,1,2006
21/06/2006,21,Wednesday,6,June,2,1,2006
22/06/2006,22,Thursday,6,June,2,1,2006
23/06/2006,23,Friday,6,June,2,1,2006
24/06/2006,24,Saturday,6,June,2,1,2006
25/06/2006,25,Sunday,6,June,2,1,2006
26/06/2006,26,Monday,6,June,2,1,2006
27/06/2006,27,Tuesday,6,June,2,1,2006
28/06/2006,28,Wednesday,6,June,2,1,2006
29/06/2006,29,Thursday,6,June,2,1,2006
30/06/2006,30,Friday,6,June,2,1,2006
01/07/2006,1,Saturday,7,July,3,2,2006
02/07/2006,2,Sunday,7,July,3,2,2006
03/07/2006,3,Monday,7,July,3,2,2006
04/07/2006,4,Tuesday,7,July,3,2,2006
05/07/2006,5,Wednesday,7,July,3,2,2006
06/07/2006,6,Thursday,7,July,3,2,2006
07/07/2006,7,Friday,7,July,3,2,2006
08/07/2006,8,Saturday,7,July,3,2,2006
09/07/2006,9,Sunday,7,July,3,2,2006
10/07/2006,10,Monday,7,July,3,2,2006
11/07/2006,11,Tuesday,7,July,3,2,2006
